objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"A Place for All My Books","431481","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","128876409","5.89797","7.79875","2.1667","3788","2546","thing","A Place for All My Books","1","4","60","60","40","2025","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Smirk & Dagger Games","English","2025","English Bookcase Deluxe edition"
"Plague Inc.: The Board Game","195162","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720156","6.45032","7.35578","2.1368","1415","6816","thing","Plague Inc.: The Board Game","1","4","60","60","60","2017","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Planet Unknown","258779","8","2","0","0","0","0","0","0","0","0","0","3","","","","","","135007277","7.39734","7.7693","2.2516","175","18672","thing","Planet Unknown","1","6","80","80","60","2022","1,2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Planted: A Game of Nature & Nurture","365104","6","0","0","1","1","0","0","0","0","0","0","3","","","","","","117123005","6.45381","7.25718","1.6897","1407","8200","thing","Planted: A Game of Nature & Nurture","2","5","30","30","20","2022","2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Pokémon Trading Card Game: Battle Academy","310953","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681488","5.80112","6.89473","2","4651","2533","thing","Pokémon Trading Card Game: Battle Academy","2","2","45","45","20","2020","2","2","6+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Poker","1115","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","136314363","6.45763","6.71003","2.4352","1395","11375","thing","Poker","2","10","60","60","60","1810","3,4,5,6,7,8,9","5,6","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Powerships","222821","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","136102826","5.69094","6.87615","1.5714","6291","526","thing","Powerships","2","7","30","30","30","2018","2,3,4,5,6,7","5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Prime Climb","159375","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","117123026","5.58011","6.22673","1.3","10235","1458","thing","Prime Climb","1","4","45","45","20","2014","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Pro Golf","5002","3","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007282","5.50893","5.71329","1.68","22147","348","thing","Pro Golf","1","36","60","60","60","1981","1,2,3,4","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Project L","260180","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","129980512","7.10716","7.45706","1.56","379","21696","thing","Project L","1","4","40","40","20","2020","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Puzzle Strike","67928","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","131945386","6.01256","6.61929","2.2871","3020","2099","thing","Puzzle Strike","2","4","20","20","20","2010","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Quest for El Dorado","217372","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","129526338","7.52449","7.70733","1.9422","120","49922","thing","The Quest for El Dorado","2","4","60","60","30","2017","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Ravensburger","English","2017","English first edition"
"The Quest for El Dorado: The Golden Temples","271615","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","126185651","6.48771","7.63467","2.0263","1308","5414","thing","The Quest for El Dorado: The Golden Temples","2","4","60","60","30","2019","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Ravensburger","English; German","2019","English/German edition"
"Quest: Avalon Big Box Edition","317030","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720517","5.81289","7.86027","2","0","1311","thing","Quest: Avalon Big Box Edition","4","10","30","30","30","2021","5,6,7,8,9,10","7,8,9","14","","","","","","","standalone","","","","",""
"Qwirkle","25669","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133681499","6.61186","6.77555","1.5818","1051","42899","thing","Qwirkle","2","4","45","45","45","2006","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Ra","12","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","128472547","7.52198","7.68664","2.311","121","36895","thing","Ra","2","5","60","60","45","1999","3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Ragnarocks","328575","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","109746836","5.87367","7.01313","1.8824","3962","2208","thing","Ragnarocks","2","6","30","30","30","2022","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Raiders of the North Sea","170042","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","130137686","7.50498","7.72359","2.5741","129","34274","thing","Raiders of the North Sea","2","4","80","80","60","2015","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Ransom Notes","349812","5","1","0","1","1","0","0","0","0","0","0","3","","","","","","109720470","5.78502","6.59283","1.0476","4840","3039","thing","Ransom Notes","3","6","90","90","30","2021","4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Ready Set Bet","351040","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","129995625","7.05671","7.52968","1.3025","433","14986","thing","Ready Set Bet","2","9","60","60","45","2022","4,5,6,7,8,9","6,7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Really Loud Librarians","378367","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","109757610","5.57543","6.07158","1.1818","10554","2202","thing","Really Loud Librarians","2","12","20","20","15","2023","4,5,6,8","4,6","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Rebirth","417197","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","135007278","6.82237","7.75537","2","713","5944","thing","Rebirth","2","4","60","60","45","2024","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Red Dragon Inn","24310","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109720198","6.2317","6.54553","1.6625","2054","16276","thing","The Red Dragon Inn","2","4","45","45","45","2007","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Red Dragon Inn 2","33451","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109720201","6.26657","6.91862","1.7944","1927","8131","thing","The Red Dragon Inn 2","2","4","45","45","45","2008","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Resistance","41114","7","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717238","7.05043","7.1969","1.5915","438","68108","thing","The Resistance","5","10","30","30","30","2009","5,6,7,8,9,10","7","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Ricochet Robots","51","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995623","6.70271","7.03759","2.3769","893","10385","thing","Ricochet Robots","1","99","30","30","30","1999","1,2,3,4,5,6,7,8,9,10,11,12","3,4,5,6","10+","No necessary in-game text","","","","","","standalone","","","","",""
"River of Gold","399941","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007306","6.66371","7.55535","2.4528","956","4593","thing","River of Gold","2","4","90","90","60","2024","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Robot Face Race","23695","4","1","0","1","0","0","0","0","0","0","0","3","","","","","","130256399","5.50418","5.67035","1","23582","289","thing","Robot Face Race","2","4","15","15","15","1984","1,2,3,4","4","4+","No necessary in-game text","","","","","","standalone","","","","",""
"Rock 'Em Sock 'Em Robots","7308","2","1","0","0","0","0","0","0","0","0","0","3","","","","","","134214456","5.32182","4.5969","1.0588","29291","707","thing","Rock 'Em Sock 'Em Robots","2","2","10","10","10","1967","2","2","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Root","237182","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757633","7.88195","8.06979","3.8346","33","94903","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Root: Landmarks Pack","334486","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757666","6.17252","7.94938","2.625","0","7686","thing","Root: Landmarks Pack","2","4","90","90","60","2022","2,3,4","3,4","14","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Root: Marauder Hirelings Pack & Hireling Box","336276","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757658","6.40668","8.49558","3.9091","0","8892","thing","Root: Marauder Hirelings Pack & Hireling Box","2","4","90","90","60","2022","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Root: Riverfolk Hirelings Pack","334485","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757673","6.22691","8.36394","3.5","0","7282","thing","Root: Riverfolk Hirelings Pack","2","4","90","90","60","2022","2,3,4","3","10+","","","","","","","expansion","","","","",""
"Root: The Homeland Expansion","428335","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","128814266","5.5711","9.41964","3.75","0","491","thing","Root: The Homeland Expansion","2","6","90","90","60","2025","2,3,4,5,6","4","10+","","","","","","","expansion","","","","",""
"Root: The Marauder Expansion","330149","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757732","7.36254","8.83572","3.9524","0","17283","thing","Root: The Marauder Expansion","2","6","90","90","60","2022","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: The Riverfolk Expansion","241386","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757643","7.75572","8.42773","3.8733","0","36625","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2018","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: The Underworld Expansion","272637","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757637","7.74571","8.7112","3.6304","0","27011","thing","Root: The Underworld Expansion","2","6","90","90","60","2020","3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: The Vagabond Pack","309977","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757654","6.89694","8.32414","3","0","14491","thing","Root: The Vagabond Pack","1","4","90","90","60","2020","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Root: Underworld Hirelings Pack","361193","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757679","6.1024","8.31898","3.3333","0","6090","thing","Root: Underworld Hirelings Pack","2","4","90","90","60","2022","2,3,4","3,4","","","","","","","","expansion","","","","",""
"Rubik's Race","614","6","14","0","0","0","0","0","0","0","0","0","3","","","","","","133482218","5.62325","6.06461","1.2333","8083","2961","thing","Rubik's Race","2","2","5","5","5","1982","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Ruins","428635","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","128777001","5.90862","7.09558","2.2222","3694","2845","thing","Ruins","2","5","40","40","40","2025","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Rush M.D.","284217","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130489283","6.23882","7.42786","2.3667","2028","4231","thing","Rush M.D.","1","4","45","45","30","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Scape Goat","315043","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130138539","5.94027","6.93527","1.65","3465","1737","thing","Scape Goat","3","6","30","30","30","2020","4,5,6","4,5","12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"SCOUT","291453","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","128799447","7.58522","7.80775","1.3769","102","48254","thing","SCOUT","2","5","20","20","20","2024","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Oink Games","English","2024","English tuckbox edition"
"Scythe","169786","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109746750","7.95683","8.11027","3.453","22","124136","thing","Scythe","1","5","115","115","115","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Scythe: Invaders from Afar","199727","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109746733","7.77655","8.26837","3.4444","0","44035","thing","Scythe: Invaders from Afar","1","7","140","140","90","2016","1,2,3,4,5,6,7","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Seaside","406660","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007320","6.0589","7.12456","1.2174","2789","3118","thing","Seaside","1","5","20","20","20","2024","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Secret Identity","347112","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007315","6.10772","7.30258","1.1852","2558","2137","thing","Secret Identity","3","8","40","40","20","2022","4,5,6,7,8","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Shadows in the Forest","1070","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681472","5.67546","6.03606","1.1064","6644","4447","thing","Shadows in the Forest","2","8","15","15","15","1985","3,4,5,6","3,4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Sherlock Holmes Consulting Detective: The Baker Street Irregulars","296345","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","122999178","6.59121","8.20035","2.2941","1094","6294","thing","Sherlock Holmes Consulting Detective: The Baker Street Irregulars","1","8","90","90","90","2020","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","",""
"Sidereal Confluence","202426","10","4","0","1","0","0","0","0","0","0","0","3","","","","","","119531579","7.09265","7.76728","3.5734","395","8491","thing","Sidereal Confluence","4","9","180","180","120","2017","4,5,6,7,8,9","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Sidereal Confluence: Bifurcation","349344","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","119531585","5.73956","8.77149","3.9167","0","1401","thing","Sidereal Confluence: Bifurcation","4","9","180","180","120","2022","4,5,6,7,8,9","7","","","","","","","","expansion","","","","",""
"Sirens","375616","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","128472518","5.57405","6.84763","1.5714","10653","830","thing","Sirens","1","2","20","20","10","2024","1,2","1,2","12+","","","","","","","standalone","","","","",""
"Skulls of Sedlec","303553","8","3","0","0","0","0","0","0","0","0","0","3","","","","","","135007260","6.59435","7.37619","1.2532","1086","8837","thing","Skulls of Sedlec","2","3","20","20","20","2020","1,2,3","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Skulls of Sedlec: Executioners","316251","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","135007263","5.70876","7.59515","2","0","1971","thing","Skulls of Sedlec: Executioners","1","4","30","30","15","2020","1,2","1,2","8+","","","","","","","expansion","","","","",""
"Skulls of Sedlec: Merchants","349268","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","135007339","5.60278","7.80583","1","0","1084","thing","Skulls of Sedlec: Merchants","1","4","20","20","20","2022","1,2,3","2","8+","","","","","","","expansion","","","","",""
"Skulls of Sedlec: Zealots","349267","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","135007350","5.58584","7.62782","0","0","1024","thing","Skulls of Sedlec: Zealots","1","4","20","20","20","2022","","","","","","","","","","expansion","","","","",""
"Sky Team","373106","9","13","0","1","0","0","0","0","0","0","0","3","","","","","","117122998","7.87384","8.14432","2.0397","34","52086","thing","Sky Team","2","2","20","20","20","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Skyrockets: Festivals of Fire","398684","7","11","0","0","0","0","0","0","0","0","0","3","","","","","","131018563","5.73335","6.97214","1.5","5546","1105","thing","Skyrockets: Festivals of Fire","2","5","15","15","10","2023","2,3,4,5","3","8","No necessary in-game text","","","","","","standalone","","","","",""
"So Clover!","329839","10","25","0","1","0","0","0","0","0","0","0","3","","","","","","126185646","7.21813","7.58857","1.1209","284","18623","thing","So Clover!","3","6","30","30","30","2021","2,3,4,5,6","3,4","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Sorry!","313121","3","1","0","0","0","0","0","0","0","0","0","3","","","","","","133482230","5.40627","4.94903","1","29147","1932","thing","Sorry!","2","4","30","30","30","2016","2,3,4","3,4","5+","","","","","","","standalone","","","","",""
"Space Base","242302","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","135007289","7.31895","7.5388","2.128","221","30437","thing","Space Base","2","5","60","60","60","2018","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Space Battle Lunchtime Card Game","299074","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717197","5.5451","6.59805","1.5","13505","446","thing","Space Battle Lunchtime Card Game","2","5","30","30","30","2020","2,3,4,5","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Space Station Phoenix","356414","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007322","6.31225","7.37385","3.0492","1783","2124","thing","Space Station Phoenix","2","4","120","120","60","2022","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Spirit Island","162886","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","109720056","8.14075","8.33922","4.0765","11","92062","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Spirit Island: Branch & Claw","193065","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720058","8.10147","8.97607","4.2338","0","29169","thing","Spirit Island: Branch & Claw","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Spirit Island: Feather & Flame","356510","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720064","6.80735","8.99364","4.4444","0","7947","thing","Spirit Island: Feather & Flame","1","4","120","120","90","2022","1,2,3,4","2","12+","Unplayable in another language","","","","","","expansion","","","","",""
"Spirit Island: Jagged Earth","262722","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720057","8.17039","9.32828","4.5247","0","22657","thing","Spirit Island: Jagged Earth","1","6","120","120","90","2020","1,2,3,4,5","2,3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Spirit Island: Nature Incarnate","365137","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720061","7.08869","9.32273","4.4576","0","9281","thing","Spirit Island: Nature Incarnate","1","6","180","180","90","2023","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Splendor","148228","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","122999015","7.29244","7.41849","1.778","237","132317","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Spot it!","63268","6","6","0","1","0","0","0","0","0","0","0","3","","","","","","133878865","6.36917","6.53342","1.0388","1623","47505","thing","Spot it!","2","8","15","15","15","2009","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","",""
"SPY","195456","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","109717290","5.53915","5.77011","1.6667","14378","2439","thing","SPY","2","4","10","10","10","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Stamp Swap","426796","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007317","5.95033","6.98057","2.2069","3404","2471","thing","Stamp Swap","1","5","60","60","20","2024","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Star Wars: The Deckbuilding Game","374173","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007309","7.31852","7.82841","2.0352","222","21146","thing","Star Wars: The Deckbuilding Game","2","2","90","90","30","2023","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"StarCraft: The Board Game","22827","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129017877","6.8574","7.36123","3.86","667","9737","thing","StarCraft: The Board Game","2","6","240","240","180","2007","2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Stonespine Architects","387514","6","3","0","0","0","0","0","0","0","0","0","3","","","","","","133482212","6.4873","7.43694","2.1212","1310","4394","thing","Stonespine Architects","1","5","60","60","45","2024","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Super Mario Blow Up! Shaky Tower Balancing Game","359800","4","1","0","0","0","0","0","0","0","0","0","3","","","","","","133482222","5.49446","5.34561","1","25921","246","thing","Super Mario Blow Up! Shaky Tower Balancing Game","2","6","15","15","5","2020","","","","","","","","","","standalone","","","","",""
"Super Mega Lucky Box","341530","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","136859692","6.47486","6.99764","1.266","1346","6400","thing","Super Mega Lucky Box","1","6","20","20","20","2021","2,3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Sushi Go Party!","192291","7","6","0","1","0","0","0","0","0","0","0","3","","","","","","122998896","7.22207","7.378","1.3166","277","71996","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Sushi Go Party!: Inari Promo","317274","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","122998916","5.63103","7.68931","1.25","0","1278","thing","Sushi Go Party!: Inari Promo","2","8","20","20","20","2020","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Sushi Go Party!: Pickled Ginger Promo","317275","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122998928","5.63058","7.57018","1.3333","0","1364","thing","Sushi Go Party!: Pickled Ginger Promo","2","8","20","20","20","2020","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Sushi Go Party!: Sake Promo","251250","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","122998908","5.70322","7.63541","1.2857","0","1911","thing","Sushi Go Party!: Sake Promo","2","8","20","20","20","2017","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Sushi Go Party!: Sukeroku Promo","250934","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122998902","5.67048","7.53789","1.2","0","1730","thing","Sushi Go Party!: Sukeroku Promo","2","8","20","20","20","2017","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Sushi Go!","133473","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","122999235","6.87642","6.98821","1.1636","643","94084","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Taco Back Goat Cheese Pizza","341876","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","128475709","5.71595","6.91453","1","5806","1846","thing","Taco Back Goat Cheese Pizza","2","8","10","10","10","2020","3,4,5,6,7,8","5,6","10–18","No necessary in-game text","","","","","","standalone","","","","",""
"Taco Cat Goat Cheese Pizza","253664","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","128475657","6.1808","6.51268","1.0363","2254","22811","thing","Taco Cat Goat Cheese Pizza","2","8","30","30","10","2018","3,4,5,6,7,8","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Taco Puck Maple Syrup Canoe","401312","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","128810633","5.50829","6.08333","0","22340","149","thing","Taco Puck Maple Syrup Canoe","2","8","10","10","10","2022","","","","","","","","","","standalone","","","","",""
"Tacocat Spelled Backwards","333373","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","136646479","5.60888","6.28495","1.2222","8675","2418","thing","Tacocat Spelled Backwards","2","2","20","20","15","2021","2","2","6+","","","","","","","standalone","","","","",""
"Tag Team","434906","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","136373805","6.0507","7.9044","1.96","2836","1949","thing","Tag Team","2","2","10","10","10","2025","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Taiwan Night Market","367201","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","131028327","5.64171","7.0102","2.4545","7495","423","thing","Taiwan Night Market","2","5","80","80","60","2023","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Takenoko","70919","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717310","7.0613","7.19956","1.9733","428","75775","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Taluva","24508","4","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995726","6.78736","7.13714","2.25","756","9101","thing","Taluva","2","4","45","45","45","2006","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Telestrations: 12 Player Party Pack","153016","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","109746830","6.80689","7.73859","1.0588","730","6587","thing","Telestrations: 12 Player Party Pack","4","12","30","30","30","2011","5,6,7,8,9,10,11,12","12","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"That's Not a Hat","375651","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","122999116","6.55746","7.01898","1.0609","1161","12124","thing","That's Not a Hat","3","8","15","15","15","2023","4,5,6,7,8","5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"That's Not a Hat: Pop Culture","406663","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","128754365","5.86289","7.19542","1.2727","4049","1930","thing","That's Not a Hat: Pop Culture","3","8","15","15","15","2024","3,4,5,6,7","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Things in Rings","408547","7","8","0","1","0","0","0","0","0","0","0","3","","","","","","133306361","6.33593","7.15442","1.3636","1716","4724","thing","Things in Rings","2","6","20","20","20","2024","2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Thornwatch","159011","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717294","5.54541","6.31735","2.3333","13461","975","thing","Thornwatch","3","6","180","180","30","2018","3,4,5,6","4","8+","","","","","","","standalone","","","","",""
"Thornwatch: The Dark of the Wood","251371","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717282","0","6.90296","0","0","606","thing","Thornwatch: The Dark of the Wood","3","6","180","180","30","2018","3,4,5,6","3,4,5","","","","","","","","expansion","","","","",""
"Through the Ages: A New Story of Civilization","182028","7","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717307","8.02478","8.25619","4.4388","15","39293","thing","Through the Ages: A New Story of Civilization","2","4","120","120","120","2015","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
